"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000054";"155 781 660";"A01";"1";"7";"0";"2";"3";"1";"1";""
"202400000054";"155 781 661";"C01";"1";"33";"0";"2";"1";"1";"1";""
"202400000054";"155 781 662";"B01";"1";"7";"0";"2";"4";"1";"3";""
"202400000055";"155 781 654";"A01";"1";"43";"0";"2";"5";"17";"1";""
"202400000055";"155 781 656";"B01";"1";"7";"0";"2";"3";"1";"1";""
"202400000055";"155 781 658";"C01";"1";"7";"0";"2";"2";"1";"1";""
"202400000056";"155 781 651";"A01";"2";"33";"0";"2";"3";"18";"1";""
"202400000056";"155 781 652";"B01";"2";"7";"0";"2";"7";"1";"1";""
"202400000057";"155 781 650";"B01";"1";"7";"0";"2";"3";"16";"1";""
"202400000057";"155 781 653";"A01";"2";"10";"0";"2";"3";"15";"1";""
"202400000058";"155 781 647";"A01";"1";"7";"0";"2";"7";"0";"1";""
"202400000058";"155 781 649";"B01";"1";"15";"0";"2";"2";"1";"1";""
"202400000059";"155 781 646";"B01";"2";"7";"0";"2";"3";"13";"1";""
"202400000059";"155 781 648";"A01";"1";"7";"0";"2";"3";"1";"1";""
"202400000060";"155 781 643";"A01";"1";"7";"4";"2";"6";"11";"1";""
"202400000060";"155 781 645";"B01";"1";"34";"4";"2";"1";"3";"1";""
"202400000061";"155 781 642";"A01";"2";"7";"0";"2";"4";"11";"1";""
"202400000061";"155 781 644";"B01";"2";"31";"0";"2";"1";"3";"1";""
"202400000062";"155 781 640";"A01";"1";"31";"12";"0";"7";"26";"1";""
"202400000063";"155 781 639";"B01";"2";"7";"0";"2";"5";"1";"1";""
"202400000063";"155 781 641";"A01";"2";"10";"6";"2";"2";"13";"1";""
"202400000064";"155 781 637";"A01";"3";"7";"0";"9";"6";"10";"1";""
"202400000064";"155 781 638";"B01";"3";"1";"0";"2";"1";"1";"5";""
"202400000065";"155 781 636";"A01";"2";"7";"0";"0";"1";"0";"1";""
"202400000066";"155 781 635";"A01";"1";"7";"12";"0";"3";"1";"1";""
"202400000067";"155 781 633";"A01";"2";"7";"4";"0";"3";"1";"1";""
"202400000068";"155 781 632";"A01";"1";"7";"0";"2";"7";"15";"1";""
"202400000068";"155 781 634";"B01";"2";"30";"0";"2";"1";"1";"1";""
"202400000069";"155 781 631";"A01";"1";"7";"2";"0";"3";"17";"1";""
"202400000070";"155 781 628";"A01";"1";"7";"2";"0";"1";"1";"1";""
"202400000071";"155 781 629";"B01";"1";"7";"0";"2";"7";"19";"1";""
"202400000071";"155 781 630";"A01";"2";"10";"0";"2";"1";"19";"1";""
"202400000072";"155 781 624";"B01";"2";"7";"0";"2";"3";"26";"1";""
"202400000072";"155 781 626";"A01";"2";"2";"0";"2";"1";"1";"1";""
"202400000073";"155 781 625";"A01";"1";"10";"0";"2";"2";"19";"1";""
"202400000073";"155 781 627";"B01";"3";"31";"0";"2";"1";"1";"1";""
"202400000074";"155 781 622";"A01";"3";"1";"0";"2";"3";"12";"5";""
"202400000075";"155 781 621";"A01";"0";"33";"0";"2";"1";"1";"1";""
"202400000075";"155 781 623";"B01";"3";"10";"0";"2";"7";"15";"1";""
"202400000076";"155 781 618";"B01";"1";"2";"0";"2";"1";"1";"1";""
"202400000076";"155 781 620";"A01";"1";"7";"0";"2";"2";"12";"1";""
"202400000077";"155 781 616";"B01";"2";"10";"0";"2";"1";"1";"1";""
"202400000077";"155 781 617";"A01";"2";"7";"0";"0";"6";"15";"1";""
"202400000077";"155 781 619";"C01";"1";"38";"0";"2";"3";"1";"1";"1"
"202400000078";"155 781 614";"A01";"2";"50";"0";"2";"8";"19";"3";""
"202400000078";"155 781 615";"B01";"2";"34";"7";"2";"1";"1";"1";""
"202400000079";"155 781 613";"A01";"1";"7";"0";"1";"2";"9";"1";""
"202400000080";"155 781 610";"B01";"2";"2";"0";"2";"6";"11";"1";""
"202400000080";"155 781 612";"A01";"2";"2";"0";"2";"1";"17";"1";""
"202400000081";"155 781 609";"B01";"2";"1";"1";"0";"1";"1";"5";""
"202400000081";"155 781 611";"A01";"2";"7";"0";"2";"3";"22";"1";""
"202400000082";"155 781 608";"A01";"3";"7";"0";"1";"1";"15";"1";""
"202400000083";"155 781 607";"A01";"2";"7";"4";"0";"9";"0";"0";""
"202400000084";"155 781 606";"A01";"1";"7";"3";"0";"3";"0";"1";""
"202400000085";"155 781 604";"B01";"1";"15";"0";"2";"2";"1";"1";""
"202400000085";"155 781 605";"A01";"2";"7";"6";"2";"1";"11";"1";""
"202400000086";"155 781 603";"A01";"1";"10";"2";"0";"9";"26";"1";""
"202400000087";"155 781 601";"A01";"3";"10";"0";"2";"6";"4";"0";""
"202400000087";"155 781 602";"B01";"3";"34";"0";"2";"7";"26";"1";""
"202400000088";"155 781 600";"A01";"0";"10";"0";"1";"2";"1";"1";""
"202400000089";"155 781 599";"A01";"2";"7";"0";"0";"0";"1";"1";""
"202400000090";"155 781 597";"B01";"1";"17";"0";"0";"5";"1";"1";""
"202400000090";"155 781 598";"A01";"1";"7";"4";"2";"3";"2";"1";""
"202400000091";"155 781 595";"A01";"1";"37";"0";"1";"6";"1";"1";"1"
"202400000092";"155 781 594";"A01";"1";"10";"0";"0";"0";"1";"1";""
"202400000093";"155 781 590";"B01";"1";"7";"3";"0";"4";"2";"1";""
"202400000093";"155 781 591";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400000094";"155 781 589";"A01";"3";"7";"0";"1";"1";"1";"1";""
"202400000095";"155 781 587";"B01";"2";"7";"0";"2";"3";"11";"1";""
"202400000095";"155 781 588";"A01";"2";"1";"0";"2";"5";"1";"5";""
