"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400013622";"21";"04";"2024";"02:00";"3";"59";"59122";"2";"1";"1";"6";"ARRAS (RUE D')";"50,17783000";"3,21561000"
"202400013623";"14";"11";"2024";"00:16";"3";"30";"30331";"1";"1";"1";"6";"N/A";"44,11445000";"4,58131000"
"202400013624";"21";"04";"2024";"13:50";"1";"56";"56260";"2";"1";"1";"6";"HERRIOT(AVENUE EDOUARD)";"47,65380000";" -2,73540000"
"202400013625";"22";"11";"2024";"12:35";"1";"29";"29019";"2";"6";"1";"2";"Pen ar Ch'leuz";"48,42257538";" -4,47700816"
"202400013626";"21";"04";"2024";"19:10";"2";"54";"54099";"1";"1";"1";"7";"D138";"49,25369800";"5,98891200"
"202400013627";"21";"11";"2024";"17:08";"2";"27";"27229";"2";"1";"9";"2";"SAINT ANDRE (ROUTE DE)";"49,01461000";"1,16304000"
"202400013628";"21";"04";"2024";"17:49";"1";"45";"45208";"2";"1";"1";"3";"12 Allée de la Résidence de la Roseraie";"47,99522000";"2,74227000"
"202400013629";"21";"04";"2024";"21:44";"5";"44";"44109";"2";"6";"1";"6";"Rue Gaston Michel";"47,20986000";" -1,56150000"
"202400013630";"21";"04";"2024";"04:50";"5";"43";"43157";"2";"2";"8";"3";"Boulevard de Cluny";"45,04830092";"3,89296972"
"202400013631";"22";"11";"2024";"22:45";"5";"26";"26362";"2";"3";"1";"3";"Rue des Alpes";"44,92713000";"4,89981000"
"202400013632";"21";"04";"2024";"20:35";"2";"37";"37122";"2";"3";"1";"6";"JAURES (BOULEVARD JEAN)";"47,34807000";"0,65835000"
"202400013633";"22";"04";"2024";"01:05";"5";"34";"34172";"2";"1";"1";"2";"CARDONILLE (RUE DE LA)";"43,63576000";"3,84645000"
"202400013634";"21";"04";"2024";"14:43";"1";"34";"34003";"2";"1";"1";"2";"ROCHELONGUE (G14 A O16";"43,29090000";"3,48090000"
"202400013635";"22";"11";"2024";"07:53";"5";"22";"22278";"2";"1";"2";"6";"CLEMENCEAU (BD)";"48,50836000";" -2,76026000"
