"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000101";"155781577";"A01";"2";"7";"0";"2";"1";"2";"2";""
"202400000102";"155781573";"A01";"2";"7";"0";"2";"2";"1";"1";""
"202400000102";"155781574";"B01";"2";"14";"0";"2";"6";"26";"1";""
"202400000103";"155781571";"A01";"2";"33";"0";"2";"7";"3";"1";""
"202400000103";"155781572";"B01";"2";"7";"0";"2";"0";"2";"1";""
"202400000104";"155781569";"A01";"2";"1";"0";"2";"3";"21";"5";""
"202400000104";"155781570";"B01";"2";"7";"0";"2";"3";"17";"0";""
"202400000105";"155781567";"B01";"1";"32";"0";"2";"1";"1";"1";""
"202400000105";"155781568";"A01";"1";"7";"0";"2";"6";"20";"1";""
"202400000106";"155781564";"B01";"3";"7";"0";"2";"3";"2";"1";""
"202400000106";"155781565";"A01";"3";"0";"0";"2";"1";"1";"0";""
"202400000107";"155781562";"A01";"3";"10";"0";"2";"2";"1";"1";""
"202400000107";"155781563";"B01";"3";"7";"0";"2";"3";"9";"0";""
"202400000108";"155781560";"A01";"3";"2";"0";"2";"3";"1";"1";""
"202400000108";"155781561";"B01";"3";"10";"0";"2";"3";"9";"1";""
"202400000109";"155781557";"A01";"0";"7";"0";"1";"7";"1";"1";""
"202400000110";"155781555";"A01";"3";"7";"0";"2";"3";"15";"1";""
"202400000110";"155781556";"B01";"3";"1";"0";"2";"3";"0";"5";""
"202400000111";"155781553";"B01";"1";"7";"0";"2";"1";"0";"1";""
"202400000111";"155781554";"A01";"1";"7";"0";"2";"7";"1";"2";""
"202400000112";"155781551";"A01";"1";"7";"0";"2";"8";"13";"1";""
"202400000112";"155781552";"B01";"1";"7";"0";"2";"4";"1";"1";""
"202400000113";"155781549";"A01";"2";"7";"8";"0";"1";"0";"1";""
"202400000113";"155781550";"B01";"2";"7";"8";"0";"1";"0";"1";""
"202400000114";"155781547";"B01";"1";"7";"0";"2";"1";"1";"1";""
"202400000114";"155781548";"A01";"1";"7";"0";"2";"8";"10";"2";""
"202400000115";"155781546";"A01";"2";"50";"0";"0";"1";"26";"3";""
"202400000116";"155781545";"A01";"1";"10";"0";"1";"8";"1";"1";""
"202400000117";"155781543";"B01";"1";"33";"0";"2";"1";"1";"1";""
"202400000117";"155781544";"A01";"2";"7";"0";"2";"7";"15";"2";""
"202400000118";"155781542";"A01";"1";"33";"13";"0";"1";"1";"1";""
"202400000119";"155781540";"B01";"3";"33";"0";"2";"7";"1";"1";""
"202400000119";"155781541";"A01";"3";"37";"0";"2";"7";"15";"1";"1"
"202400000120";"155781538";"A01";"1";"33";"0";"2";"1";"17";"1";""
"202400000120";"155781539";"B01";"1";"7";"0";"9";"6";"10";"2";""
"202400000121";"155781536";"A01";"3";"7";"0";"2";"7";"20";"1";""
"202400000121";"155781537";"B01";"1";"2";"0";"2";"1";"1";"1";""
"202400000122";"155781534";"A01";"1";"7";"0";"2";"1";"17";"1";""
"202400000122";"155781535";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202400000123";"155781533";"A01";"2";"99";"1";"0";"1";"1";"0";""
"202400000124";"155781531";"A01";"3";"7";"0";"9";"6";"10";"1";""
"202400000124";"155781532";"B01";"3";"50";"0";"2";"1";"5";"3";""
"202400000125";"155781529";"A01";"1";"7";"0";"2";"8";"10";"1";""
"202400000125";"155781530";"B01";"1";"30";"0";"2";"2";"0";"1";""
"202400000126";"155781528";"A01";"1";"3";"2";"0";"3";"1";"1";""
