"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"67 230 598";"A";"2024";"Métropole";"M10PGTVP0484292";"VT";"6"
"67 230 599";"A";"2024";"Métropole";"L3EHNDML000B202";"Moto légère";"12"
"67 230 600";"A";"2024";"Métropole";"N/A";"VT";"14"
"67 230 601";"A";"2024";"Métropole";"MCT5203C4758";"VU";"19"
"67 230 602";"A";"2024";"Métropole";"M10FATVP0832052";"VT";"8"
"67 230 603";"A";"2024";"Métropole";"MCT3312PR050";"VT";"17"
"67 230 603";"B";"2024";"Métropole";"M10K1AVP002R364";"VT";"8"
"67 230 604";"A";"2024";"Métropole";"M10K1AVP002R328";"VT";"8"
"67 230 604";"B";"2024";"Métropole";"MRE1322EG561";"VT";"17"
"67 230 604";"C";"2024";"Métropole";"M10FATVP305A894";"VT";"0"
"67 230 605";"A";"2024";"Métropole";"MHY6624V4228";"VT";"17"
"67 230 606";"A";"2024";"Métropole";" 	L1ECEFCL000L3";"Cyclo";"3"
"67 230 606";"Z";"2024";"Métropole";" 	M10VWGVP011Z1";"VT";"14"
"67 230 607";"A";"2024";"Métropole";"L1EPGGCL001H358";"Cyclo";"1"
"67 230 608";"A";"2024";"Métropole";"ZDMH200ACXB0079";"Moto lourde";"24"
"67 230 609";"A";"2024";"Métropole";"N/A";"VT";"18"
"67 230 610";"A";"2024";"Métropole";"M10RENVP0066766";"VT";"12"
"67 230 611";"A";"2024";"Métropole";"LJS14L304128";"Moto lourde";"20"
"67 230 612";"A";"2024";"Métropole";"M10VWGVP000R379";"VT";"13"
"67 230 613";"A";"2024";"Métropole";"M10CTRVP004X561";"VT";"11"
"67 230 613";"B";"2024";"Métropole";"MPE5311KS077";"VT";"19"
"67 230 614";"A";"2024";"Métropole";"M10RENVP0095144";"VT";"12"
"67 230 614";"B";"2024";"Métropole";"M10RENVP002J358";"VT";"12"
"67 230 615";"A";"2024";"Métropole";"L3EHNDML001G206";"Moto légère";"1"
"67 230 616";"A";"2024";"Métropole";"MMN1701AR056";"VT";"20"
"67 230 616";"B";"2024";"Métropole";"M10RENVPJ21N067";"VT";"0"
"67 230 617";"A";"2024";"DOM";"lgg92e30e545";"Moto légère";"15"
"67 230 618";"A";"2024";"Métropole";"N/A";"VT";"8"
"67 230 619";"A";"2024";"Métropole";"L1EYAMCL0006497";"Cyclo";"8"
"67 230 620";"A";"2024";"Métropole";"N/A";"Autres";"17"
"67 230 620";"B";"2024";"Métropole";"N/A";"VT";"14"
"67 230 621";"A";"2024";"Métropole";"M10K1AVP0041433";"VT";"1"
"67 230 622";"A";"2024";"Métropole";"N/A";"Moto légère";"5"
"67 230 623";"A";"2024";"Métropole";"N10RENCTF22A151";"VU";"0"
"67 230 623";"B";"2024";"Métropole";"N/A";"VT";"18"
"67 230 623";"C";"2024";"Métropole";"M10PGTTVP000085";"VT";"12"
"67 230 624";"A";"2024";"Métropole";"VF1RJB004672250";"VT";"2"
"67 230 624";"B";"2024";"Métropole";"N/A";"VT";"N/A"
"67 230 625";"A";"2024";"Métropole";"M10RENVP002E354";"VT";"13"
"67 230 626";"A";"2024";"Métropole";"VF3VFAHKHJZ0539";"VT";"6"
"67 230 628";"A";"2024";"Métropole";"N/A";"VT";"1"
"67 230 630";"A";"2024";"Métropole";"N/A";"Moto lourde";"21"
"67 230 630";"B";"2024";"Métropole";"N/A";"VT";"10"
"67 230 631";"A";"2024";"Métropole";"MRE5333M4077";"VU";"3"
"67 230 631";"B";"2024";"Métropole";"L3EYAMM1000J931";"Moto lourde";"21"
"67 230 632";"A";"2024";"Métropole";"M10RENVP334Y721";"VT";"10"
"67 230 633";"A";"2024";"Métropole";"L5EPGGTM0008347";"Moto lourde";"12"
"67 230 634";"A";"2024";"Métropole";"MPE5014KA108";"VT";"19"
"67 230 634";"B";"2024";"Métropole";"M10CTRVP076X877";"VT";"3"
"67 230 635";"A";"2024";"Métropole";"N20FRDCA504R108";"PL";"0"
"67 230 635";"B";"2024";"Métropole";"L3EYAMM1000J931";"Moto lourde";"4"
"67 230 635";"C";"2024";"Métropole";"M10K1AVP0035596";"VT";"3"
"67 230 636";"A";"2024";"Métropole";"M10CTRVP000P557";"VT";"13"
"67 230 636";"B";"2024";"Métropole";"LGG94J70T642";"Moto lourde";"14"
"67 230 637";"A";"2024";"Métropole";"MVW55B2EP730";"VT";"23"
"67 230 637";"B";"2024";"Métropole";"MPE5202AG691";"VT";"23"
"67 230 638";"A";"2024";"Métropole";"N10DGLCT016B700";"VU";"1"
"67 230 639";"A";"2024";"Métropole";"N/A";"VU";"6"
"67 230 640";"A";"2024";"Métropole";"M10JEPVP002V474";"VT";"3"
"67 230 641";"A";"2024";"Métropole";"N/A";"Autres";"23"
"67 230 642";"A";"2024";"Métropole";"N/A";"Autres";"15"
"67 230 643";"A";"2024";"Métropole";"MPE3312K7254";"VT";"18"
"67 230 644";"A";"2024";"Métropole";"MCT1102GJ103";"VT";"24"
"67 230 645";"A";"2024";"Métropole";"M10RENVP0066766";"VT";"12"
"67 230 647";"A";"2024";"Métropole";"M10VWGVP021H093";"VT";"13"
"67 230 648";"A";"2024";"Métropole";"N/A";"VT";"0"
"67 230 649";"A";"2024";"Métropole";"M10CTRVP1897749";"VT";"1"
"67 230 650";"A";"2024";"Métropole";"M10PGTVP199Z003";"VT";"1"
"67 230 650";"B";"2024";"Métropole";"LKW1AL40Y241";"Moto lourde";"17"
"67 230 651";"A";"2024";"Métropole";"MRE5222EM565";"VT";"17"
"67 230 651";"B";"2024";"Métropole";"MBM7772C7601";"VT";"14"
"67 230 652";"A";"2024";"Métropole";"L3ETPHM2000N481";"Moto lourde";"10"
"67 230 652";"B";"2024";"Métropole";"JMB XJG A6WCZ00";"VT";"10"
"67 230 653";"A";"2024";"Métropole";" M10FRDVP450C17";"VT";"1"
"67 230 653";"B";"2024";"Métropole";"L1EAPRCL0008575";"Cyclo";"2"
"67 230 654";"A";"2024";"Métropole";"M10VWGVPN22J710";"VT";"7"
"67 230 654";"B";"2024";"Métropole";"N10RENCTD97X455";"VU";"2"
"67 230 655";"A";"2024";"Métropole";"MVW53K4W0A21";"VT";"15"
"67 230 655";"B";"2024";"Métropole";"N/A";"VT";"19"
"67 230 656";"A";"2024";"Métropole";"N/A";"Cyclo";"3"
"67 230 657";"A";"2024";"Métropole";"M10FATVP001H781";"VT";"13"
"67 230 657";"B";"2024";"Métropole";"MRE5101E3912";"VT";"23"
"67 230 658";"A";"2024";"Métropole";"N/A";"VU";"7"
"67 230 658";"B";"2024";"Métropole";"N/A";"TC";"8"
"67 230 659";"A";"2024";"Métropole";"N/A";"Cyclo";"N/A"
"67 230 660";"A";"2024";"Métropole";"L3EYAMM20005881";"Moto lourde";"6"
"67 230 661";"A";"2024";"Métropole";"L1EFANCL000J103";"Cyclo";"1"
"67 230 661";"B";"2024";"Métropole";"M10RENVP462R622";"VT";"8"
