"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400003639";"203979989";"155775399";"B01";"2";"2";"4";"2";"1957";"4";"1";" -1";" -1";" -1";" -1";" -1"
"202400003640";"203979983";"155775394";"A01";"1";"1";"4";"1";"1967";"0";"2";" -1";" -1";" -1";" -1";" -1"
"202400003640";"203979984";"155775395";"B01";"1";"1";"1";"1";"1971";"0";"1";" -1";" -1";" -1";" -1";" -1"
"202400003641";"203979985";"155775396";"B01";"1";"1";"1";"2";"1999";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003641";"203979986";"155775397";"A01";"1";"1";"3";"2";"1971";"5";"2";"6";" -1";"0";"0";" -1"
"202400003642";"203979981";"155775392";"A01";"1";"1";"4";"1";"2003";"0";"8";"0";" -1";"0";"0";" -1"
"202400003642";"203979982";"155775393";"B01";"1";"1";"3";"1";"1992";"0";"8";"0";" -1";"0";"0";" -1"
"202400003643";"203979977";"155775391";"A01";"7";"2";"4";"2";"2009";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003643";"203979979";"155775391";"A01";"2";"2";"2";"2";"2009";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003643";"203979980";"155775391";"A01";"1";"1";"4";"2";"1994";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003644";"203979976";"155775390";"A01";"10";"3";"4";"2";"1979";"5";"0";" -1";" -1";"3";"3";"1"
"202400003644";"203979978";"155775390";"A01";"1";"1";"1";"2";"2003";"0";"1";"8";" -1";"0";"0";" -1"
"202400003645";"203979974";"155775388";"A01";"1";"1";"1";"2";"1992";"1";"1";" -1";" -1";"0";"0";" -1"
"202400003645";"203979975";"155775389";"B01";"1";"1";"3";"1";"2010";"5";"2";"6";" -1";"0";"0";" -1"
"202400003646";"203979972";"155775386";"A01";"1";"1";"1";"1";"1992";"5";"1";"0";" -1";"0";"0";" -1"
"202400003646";"203979973";"155775387";"B01";"1";"1";"4";"1";"1982";"5";"2";"6";" -1";"0";"0";" -1"
"202400003647";"203979969";"155775383";"A01";"1";"1";"3";"1";"2012";"5";"0";" -1";" -1";"0";"0";" -1"
"202400003647";"203979971";"155775385";"B01";"1";"1";"1";"1";"1986";"1";"1";" -1";" -1";"0";"0";" -1"
"202400003648";"203979968";"155775382";"A01";"1";"1";"4";"1";"1972";"1";"2";"6";" -1";"0";"0";" -1"
"202400003648";"203979970";"155775384";"B01";"1";"1";"1";"1";"1983";"1";"1";"0";" -1";"0";"0";" -1"
"202400003649";"203979965";"155775380";"A01";"10";"3";"4";"1";"1988";"0";"0";" -1";" -1";"9";"3";"1"
"202400003649";"203979966";"155775380";"A01";"1";"1";"1";"1";"1992";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003650";"203979964";"155775379";"A01";"1";"1";"3";"1";"2006";"1";"1";" -1";" -1";"0";"0";" -1"
"202400003650";"203979967";"155775381";"B01";"1";"1";"4";"1";"1969";"1";"1";" -1";" -1";"0";"0";" -1"
"202400003651";"203979962";"155775377";"B01";"1";"1";"4";"1";"1957";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400003651";"203979963";"155775378";"A01";"1";"1";"1";"2";"1973";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003652";"203979960";"155775376";"A01";"10";"3";"3";"2";"1960";"5";"0";" -1";" -1";"1";"1";"1"
"202400003652";"203979961";"155775376";"A01";"1";"1";"1";"1";"1993";"4";"1";" -1";" -1";"0";"0";" -1"
"202400003653";"203979958";"155775374";"A01";"1";"1";"1";"2";"1991";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003653";"203979959";"155775375";"B01";"1";"1";"3";"2";"1973";"1";"2";"6";" -1";" -1";" -1";" -1"
"202400003654";"203979957";"155775373";"A01";"1";"1";"3";"2";"2008";"2";"2";" -1";" -1";"0";"0";" -1"
"202400003655";"203979954";"155775370";"A01";"1";"1";"4";"1";"1991";"0";"1";"0";" -1";"0";"0";" -1"
"202400003655";"203979956";"155775372";"B01";"1";"1";"4";"1";"1966";"0";"1";"0";" -1";"0";"0";" -1"
"202400003656";"203979953";"155775369";"A01";"1";"1";"1";"1";"1974";"4";"1";"8";" -1";" -1";" -1";" -1"
"202400003656";"203979955";"155775371";"B01";"1";"1";"4";"2";"1979";"9";"1";"8";" -1";" -1";" -1";" -1"
"202400003657";"203979949";"155775367";"A01";"2";"2";"4";"1";"1985";"4";"1";"0";" -1";"0";"0";" -1"
"202400003657";"203979950";"155775367";"A01";"1";"1";"4";"1";"1974";"4";"1";"8";" -1";"0";"0";" -1"
"202400003657";"203979952";"155775368";"B01";"1";"1";"4";"1";"1976";"4";"1";"0";" -1";"0";"0";" -1"
"202400003658";"203979943";"155775363";"A01";"1";"1";"4";"1";"1986";"4";"1";"8";" -1";" -1";" -1";" -1"
"202400003658";"203979945";"155775364";"B01";"1";"1";"4";"1";"1997";"4";"1";"8";" -1";" -1";" -1";" -1"
"202400003658";"203979946";"155775366";"C01";"4";"2";"4";"2";"2012";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003658";"203979947";"155775366";"C01";"3";"2";"4";"2";"2009";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003658";"203979948";"155775366";"C01";"2";"2";"4";"2";"1975";"9";"1";"0";" -1";" -1";" -1";" -1"
"202400003658";"203979951";"155775366";"C01";"1";"1";"4";"2";"1985";"5";"1";"8";" -1";" -1";" -1";" -1"
"202400003659";"203979938";"155775362";"A01";"2";"2";"1";"1";"1976";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400003659";"203979940";"155775362";"A01";"4";"2";"4";"2";"1983";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400003659";"203979941";"155775362";"A01";"3";"2";"1";"1";"1966";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400003659";"203979942";"155775362";"A01";"1";"1";"4";"1";"1997";"4";"1";"0";" -1";" -1";" -1";" -1"
